id,problem
svsu_level_i_02_01,The expression is equal to a. 1 b. (cid:33)1/6 c. (cid:33)1 d. 1/6 e. None of the above
svsu_level_i_02_02,"The width of a rectangle is one foot more than its length. Determine the perimeter of the rectangle, in feet, if the area of the rectangle is one square foot. a. b. c. d. e. None of the above"
svsu_level_i_02_03,"For the function where and , what is a? a. (cid:33)2 b. (cid:33)3/2 c. 3/2 d. 7/2 e. None of the above"
svsu_level_i_02_04,An equilateral triangle is inscribed in a circle with a radius of 2 inches. Determine the length of each of the sides of the equilateral triangle. a. b. c. 4 d. 2 e. None of the above
svsu_level_i_02_05,"The mean (average) score on a test is 75. A grading error is discovered on one student’s test, and the student’s score is increased by 10 points. If the revised mean is 75.4, how many students took the test? a. 25 b. 30 c. 40 d. 50 e. None of the above"
svsu_level_i_02_06,"When choosing three numbers from the set {0,1,2,3,4,5,6,7,8,9} at random, with repetition allowed, what is the probability that precisely 2 of these will be the same? a. 1/10 b. 3/10 c. 1/3 d. 9/100 e. None of the above Level I/Page 2"
svsu_level_i_02_07,Triangle BCD is inscribed in a semi-circle of diameter 4 as shown in the figure. The area A of triangle BCD as a function of x is a. b. c. d. x e. None of the above
svsu_level_i_02_08,The expression is equal to a. ½ b. 2 c. (cid:33)½ d. 1/3 e. None of the above
svsu_level_i_02_09,For the function is equal to a. (cid:33)2 b. (cid:33)8 c. (cid:33)4 d. 8 e. None of the above
svsu_level_i_02_10,"The center of the small circle as shown in the figure is the point a. b. c. (6,3) d. (4,2) e. None of the above"
svsu_level_i_02_11,The expression can be simplified to a. b. c. d. e. None of the above Level I/Page 3
svsu_level_i_02_12,"A woman begins jogging at 3:00 p.m., running due north at 10 mph. Later she reverses direction and runs due south at 12 mph. If she runs back to her starting point at 3:44 p.m., the total number of miles she ran is a. 11 miles b. 8.5 miles c. 8 miles d. 7.5 miles e. None of the above"
svsu_level_i_02_13,The last digit of 22002 is a. 2 b. 4 c. 6 d. 8 e. None of the above
svsu_level_i_02_14,"In the figure, ABCD is a rectangle and B is a midpoint of the larger rectangle. What is the area of ABCD? a. 18 b. c. 36 d. e. None of the above"
svsu_level_i_02_15,Exactly one of the following statements is false:
svsu_level_i_02_16,Audrey is older than Beatrice.
svsu_level_i_02_17,Clement is younger than Beatrice.
svsu_level_i_02_18,The sum of the ages of Beatrice and Clement is twice the age of Audrey.
svsu_level_i_02_19,Clement is older than Audrey. Who is the youngest? a. Audrey b. Beatrice c. Clement d. They are all the same age e. There is not enough information given
svsu_level_i_02_20,"The digits 1, 3, 4, 6, 8, and 9 are each used exactly once to form three two-digit prime numbers p,q and r with p>q>r. What is p(cid:33)q+r? a. 55 b. 63 c. 67 d. 71 e. None of the above"
svsu_level_i_02_21,"The point (a,b) is reflected over the y-axis to the point (c,d), which is reflected over the x-axis to the point (e,f). Compute ab(cid:33)ef. a. 0 b. 2a c. 2b d. 2c e. None of the above Level I/Page 4"
svsu_level_i_02_22,A dog is tethered to the corner of a ten-foot-by-ten-foot square pen by a leash that is fourteen feet long. In how much area outside the pen can the dog roam? a. 147(cid:66) b. 151(cid:66) c. 155(cid:66) d. 159(cid:66) e. None of the above
svsu_level_i_02_23,The sum of all different real values of x for which is a. 9 b. 10 c. 12 d. 15 e. None of the above
svsu_level_i_02_24,All Sufs are Tufs. One third of all Tufs are Sufs. Half of all Rufs are Tufs. One Ruf is a Suf. Eight Rufs are Tufs. The number of Tufs is 90. How many Tufs are neither Sufs or Rufs? a. 52 b. 53 c. 45 d. 46 e. None of the above
svsu_level_i_02_25,"Find the distance from the point (8, (cid:33)1) to the line described by a. 2 b. 5 c. d. e. None of the above"
svsu_level_i_02_26,The graphs of and have how many points in common? a. 0 b. 2 c. 3 d. 4 e. None of the above
svsu_level_i_02_27,"If 3 apples and 2 oranges cost $0.84 and 6 apples and 1 orange cost $1.32, what is the cost of 2 apples and 2 oranges? a. $0.20 b. $0.12 c. $0.42 d. $0.64 e. None of the above"
svsu_level_i_02_28,Rita travels on an expressway at a rate of 50 mph for 2 hours then at 70 mph for another 3 hours. What is her average speed for the entire trip? a. 58 mph b. 60 mph c. 62 mph d. 63 mph e. None of the above Level I/Page 5
svsu_level_i_02_29,A square and a circle have equal perimeters. What is the ratio of the side of the square to the radius of the circle? a. 2:1 b. 2:(cid:66) c. (cid:66):2 d. 1:2(cid:66) e. None of the above
