id,problem
svsu_2013_mo_l1_01,1 + 1 =? 9 16 (a) 7 (b) 1 (c) 2 (d) 5 (e) none of the above 12 5 7 12
svsu_2013_mo_l1_02,"Suppose the operation ∗ is defined on the set of integers by a∗b = a+2b. Then for every two integers a and b, the value of a∗(b∗a) is the same as (a) (5a)∗b (b) a∗b (c) b∗a (d) b∗(4a) (e) none of the above"
svsu_2013_mo_l1_03,"Given that the vertex of the parabola y = x2 +8x+k is on the x-axis, what is the value of k ? (a) 4 (b) 24 (c) 16 (d) 0 (e) 8"
svsu_2013_mo_l1_04,"John and Nancy live on the same street and often walk towards each other’s home. If they both leave their homes at 8:00 a.m., then they will meet at 8:04 a.m. If Nancy leaves her home at 8:00 a.m. but John does not leave his home until 8:03 a.m., then they will meet at 8:05 a.m. How many minutes does it take for John to walk all the way to Nancy’s home? Assume that each person walks at his or her own constant rate. (a)8minutes (b)9minutes (c)10minutes (d)11minutes (e) none of the above"
svsu_2013_mo_l1_05,Which of these numbers is the largest? √√ √ √ √ √ √ √ √ √ (a) 3 5·6 (b) 6 3 5 (c) 5 3 6 (d) 3 5 6 (e) 3 6 5
svsu_2013_mo_l1_06,The graph of the equation x2−xy+x−y = 0 is (a) a parabola (b) a point (c) an ellipse (d) a line (e) a pair of intersecting lines 1 SVSU 2013 Math Olympics Level I-page 2 of 5
svsu_2013_mo_l1_07,"In a class of 100 students, there are 50 who play soccer, 45 who play basketball, and50whoplayvolleyball. Only15ofthesestudentsplayallthreesports. Everyone plays at least one of these sports. How many of the students play exactly two of these sports? (a) 20 (b) 35 (c) 25 (d) 15 (e) none of the above"
svsu_2013_mo_l1_08,Whatisthesmallestnumberofseatsinalargeauditoriumthatmustbeoccupied in order to be certain that at least two people share the same first and last initials? (a) 675 (b) 677 (c) 51 (d) 53 (e) none of the above
svsu_2013_mo_l1_09,The number of real solutions of the equation | x−2 | + | x−3 |= 1 is (a) 0 (b) 1 (c) 2 (d) 3 (e) none of the above
svsu_2013_mo_l1_10,Suppose that only eight tiles are left in the scrabble bag and the letters on the tiles spell CALCULUS. How many ways (if the order of choosing doesn’t matter) can you choose two tiles? (a) 23 (b) 13 (c) 20 (d) 10 (e) none of the above
svsu_2013_mo_l1_11,"Yannick has a total of $200 in his two pockets. He takes one fourth of the money in his left pocket and puts it in his right pocket. He then takes $20 from his left pocket and puts it in his right pocket. If he now has an equal amount of money in each pocket, then how much money did he originally have in his left pocket? (a) $120 (b)$160 (c) $180 (d) $140 (e) $80"
svsu_2013_mo_l1_12,"A boat is traveling against the flow of a river. Suppose the river is flowing at a constant speed and the boat maintains a constant speed with respect to the river while traveling in either direction along the river, in other words, the boat would maintain a constant speed in still water. At a certain moment of time a blow-up ball falls off the boat and starts floating down the river. 20 minutes after the ball fell into the water this was noticed and the boat reversed its direction and started going down the river chasing the ball. How long was the ball in the water before it was retrieved? (a) 20 minutes (b) 10 minutes (c) 60 minutes (d) 40 minutes (e) none of the above 2 SVSU 2013 Math Olympics Level I-page 3 of 5"
svsu_2013_mo_l1_13,It takes 3 hours filling a pool using two pipes. It takes 5 hours to fill the pool using only the larger pipe. How long does it take to fill the pool using only the smaller pipe? (a) 1.5 hours (b) 4 hours (c) 7.5 hours (d) 5 hours (e) none of the above
svsu_2013_mo_l1_14,"In a certain football league, the only way to score is to kick a field goal for 3 points or score a touchdown for 7 points. Thus the scores such as 1, 4 and 8 are not possible. How many positive scores are not possible? (a) 5 (b) 6 (c) 9 (d) 11 (e) infinitely many"
svsu_2013_mo_l1_15,"For all x such that x ̸= 2; (cid:0)2;0, what is (cid:0)24 + 1 equal to? 5 4x+8x2(cid:0)5x3 2(cid:0)x (a) 12 (b) 5x2+12x (c) (cid:0)5 (d) (cid:0)5(cid:0)1 x 2 5x2+2x 2x2+5x3 5x2+2x 5x+2 (e) none of the above"
svsu_2013_mo_l1_16,For how many integers n between 1 and 100 does x2 +x−n factor into the product of two linear factors with integer coefficients? (a) 9 (b) 2 (c) 1 (d) 10 (e) none of the above
svsu_2013_mo_l1_17,"On △ABC, point D lies on the segment AB, point E lies on BC, and point F lies on CA. If AD = BE = CF = 2, and the area of △ABC equals 1, then what is DB EC FA 3 the area of △DEF? Note that the figure below is not drawn to the scale. (a) 5 (b) 4 (c) 3 (d) 7 (e) 6 9 9 25 25 25 3 SVSU 2013 Math Olympics Level I-page 4 of 5"
