id,problem
svsu_2006_level1_01,"Asquareisinscribedinacircle,whichisinscribedinanothersquare. Whatistheratioof theareaofthesmallersquaretotheareaofthelargersquare? (a) 1 (b) p1 (c) 1 (d) Impossibletodeterminefromtheinformationgiven 2 2 4 (e) Noneoftheabove"
svsu_2006_level1_02,Whichofthefollowingchoiceshasadifferentvaluefromtheotherchoices? 240+2 245+245 (a) 32·235 (b) (32)8 (c) (d) 239+239 (e) 2 25+25
svsu_2006_level1_03,Atwhattimebetween7:00pmand8:00pmwillthehourhandandtheminutehandpoint inoppositedirections? (Assumethatthehandsmovesmoothlywithoutjumps.) (a) 7minutesafter7:00pm. (b) 65/ minutesafter7:00pm. 12 (c) 55/ minutesafter7:00pm. 11 (d) Thereisnotimebetween7:00pmand8:00pmatwhichthehourhandandtheminute handpointinoppositedirections. (e) Noneoftheabove x2+2xy−2yz−z2
svsu_2006_level1_04,Theexpression simplifiesto x+2y+z (a) 2x−2y−z2 (b) x−z (c) 2x−2y−z (d) x−2y−z (e) Noneoftheabove
svsu_2006_level1_05,WhichofthefollowingdefinitionsofxPy guaranteesthatxPy =yPx? x x y (a) xPy = (b) xPy =2x+y (c) xPy = + y y x (d) xPy =x2y (e) Noneoftheabove SVSU–2006MathOlympics LevelI–Page2
svsu_2006_level1_06,"A kindergarten teacher needs to seat 5 children in a row. The twins, Terry and Sherry, needtositnexttoeachotherortheywillcry. Howmanywayscantheteacherseatthe5 childrensothatTerryandSherryarenexttoeachother? (a) 125 (b) 48 (c) 24 (d) 12 (e) Noneoftheabove"
svsu_2006_level1_07,"The two smaller circles S and S of radii r and r 1 2 1 2 areinitiallypositioned,respectively,atpointsP and S 1 S Q at the opposite ends of a diameter of the big cir- 2 r P cle of radius r. The smaller circles are then moved r 2 r 1 Q alongtheperimeterofthebigcirclebyrotatingthem clock-wise(withoutskidding)atthesamerotational rate. After completing 5.5 full rotations, S reaches 1 Q,whileatthatmomentS isonlytwo-thirdsofthe 2 distancealongthearcfromQ toP. Ifthecirclescontinuetorotateuntilthefirstmoment they are back (simultaneously) to their initial positions, how many rotations would S 2 havemade? (a) 27 (b) 16.5 (c) 70.5 (d) 141 (e) Noneoftheabove"
svsu_2006_level1_08,a]b isdefinedtobea+ 1 forb6=0. Find(1]2)] ¡ 2] 1¢ . b 4 (a) 5 (b) 15 (c) 2 (d) 10 (e) Noneoftheabove 3 4 9 x 1
svsu_2006_level1_09,Whatisthesumofthesolutionstotheequation =4x2+ ? x−1 x−1 (a) 1 (b) 1.5 (c) 0 (d) 1 (e) Noneoftheabove 2
svsu_2006_level1_10,"A lottery game uses a bowl filled with red and white ping-pong balls. Some of the balls have a black dot and some do not. 50% of the balls are colored red, and 20% of the red ballshaveablackdot. 40%ofalltheballshaveablackdot. Whatpercentoftheballswill bewhitewithablackdot? (a) 20% (b) 60% (c) 30% (d) 80% (e) Noneoftheabove SVSU–2006MathOlympics LevelI–Page3"
svsu_2006_level1_11,"Theequationofthetangentlinetothecirclex2+y2=25at(3,4)is (a) 3x+4y =25 (b) 3x−4y =−7 (c) 4x+3y =24 (d) 4x−3y =0 (e) Noneoftheabove"
svsu_2006_level1_12,"Aworkerispleasedtoreceivea20%payrise,butdisappointedtohavethisfollowedbya 20%paycut. Whatistheoverallresultofthis? (a) Thepayremainsthesame. (b) 10%cut (c) 4%rise (d) 4%cut (e) Noneoftheabove"
svsu_2006_level1_13,"Ifacatandahalfcancatcharatandahalfinanhourandahalf,howmanyratscan3cats catchin3hours? (a) 9 (b) 6 (c) 3 (d) 2 (e) Noneoftheabove"
svsu_2006_level1_14,"Donald rents ponies for $15 for one pony. For each additional pony, a $1 per pony dis- countisgiven(e.g. 2poniesrentfor$14each,3poniesrentfor$13eachetc). Whatisthe mostexpensiverentalDonaldcanhave? (a) $225 (b) $64 (c) $49 (d) $144 (e) Noneoftheabove 1"
svsu_2006_level1_15,"For0<x<2,theminimumvalueofx+ is x 3 (a) (b) 1 (c) 2 (d) Theexpressionhasnominimumvalue 4 (e) Noneoftheabove SVSU–2006MathOlympics LevelI–Page4"
svsu_2006_level1_16,Howmanygallonsofpurealcoholmustbeaddedto10gallonsofa40%alcoholmixture togeta50%alcoholmixture? (a) 10 (b) 5 (c) 3 (d) 2 (e) Noneoftheabove
svsu_2006_level1_17,"Aboatcangoupstreamagainsta2.5mphcurrentin11hours, andbackdownstreamto thesameplacein7hours. Findthespeedoftheboatinstillwater. (a) 5mph (b) 7mph (c) 9mph (d) 13mph (e) Noneoftheabove"
svsu_2006_level1_18,"AtouristtravelstoCanadaandexchanges1000Americandollars,getting1250Canadian dollars.After4hoursinacasino,hehas100Canadiandollarsleft.Assumingtheexchange rate did not change during his stay, how much will he get exchanging it for American dollars? (a) 75 (b) 80 (c) 85 (d) 90 (e) Noneoftheabove"
svsu_2006_level1_19,"OnHalloween,TomcollectstwiceasmanypiecesofcandyasJane,whileMarygetsthree timesasmanypiecesasRich. TomeatshalfofhiscandyandgivestheotherhalftoMary. Maryconsumestwo-thirdswhatshenowhasandasksJaneifshewantstherest.Janeopts totakefromMaryonlyasmuchasJaneoriginallyhad. Marythenpassestheremaining candy to Rich. Rich ends up with 100 pieces of candy, which is, according to him, 25% morethanheoriginallycollected. Whichofthefollowingholds? (a) Thekidscollected550piecesofcandyaltogether (b) Mary and Jane together collected more than 130% of what Tom and Rich collected together (c) TomandJanetogetheroriginallycollected270pieces (d) Maryendedupconsumingmorecandythanshecollected (e) Noneoftheabove"
svsu_2006_level1_20,"What is the equation of the perpendicular bisector of the line segment (−1,3) to (3,5)? (Alinebisectsasegmentifitdividesitintotwosegmentsofequallength.) (a) x−2y =−7 (b) 2x−y =−2 (c) x+2y =13 (d) 2x+y =1 (e) Noneoftheabove SVSU–2006MathOlympics LevelI–Page5"
svsu_2006_level1_21,Whatistheremainderwhen9·105+8·104+7·103+6·102+5·101+4·100isdividedby3? (a) 0 (b) 1 (c) 2 (d) 3 (e) Noneoftheabove
svsu_2006_level1_22,"Letabeafixedinteger.Alowingrepetition,letr ,r andr bethesolutionsoftheequation 1 2 3 x3+ax2+ax+1=0. Ifr andr aredistinctintegers,whatisthevalueofr ? 1 2 3 p (a) 3 3 (b) 1 (c) −1 (d) 1+i (e) Noneoftheabove 2"
svsu_2006_level1_23,"In a strange far-away land, the “star operation” misbehaves: a?b 6= b?a. Other than that, the operation is associative and 1?a =a?1=a for any a. Suppose we know that a?a?a =1, b?b=1,and b?a =a?a?b. Whichofthefollowingmustbetrueabout b?a?a? (a) b?a?a=1 (b) b?a?a=a?b (c) b?a?a=a?a?b (d) b?a?a=a (e) Noneoftheabove"
svsu_2006_level1_24,"Thesolutionsettotheequation2x3−9x2+25=0is p p p p p p (a) '−5,1+ 6,7−2 6 “ (b) '5,1− 6,7−2 6 “ (c) '5,1− 6,7+2 6 “ 2 2 2 p p (d) '−5,1− 6,7+ 6 “ (e) Noneoftheabove 2 q p q p p"
svsu_2006_level1_25,Letn= 6+ 11+ 6− 11− 22. Then (a) n≥1 (b) 0<n<1 (c) n=0 (d) −1<n<0 (e) n≤−1
