id,problem
svsu_2005level2_solutions_01,"If the point (3,5) is on the graph of y = −3f(2x+1)+2, which of the following must be true? (a) f(7) = 13 (b) f(2) = 13 (c) f(2) = −1 (d) f(7) = −1 (e) None of the above Solution. D Pluging in for x and y, we get 5 = −3f(2·3+1)+2, or 5 = −3f(7)+2, or 3 = −3f(7) or −1 = f(7)."
svsu_2005level2_solutions_02,"Let p be a prime number and k an integer such that x2+kx+p = 0 has two distinct positive integer solutions. The value of k+p is (a) 1 (b) −1 (c) 0 (d) 2 (e) −2 Solution. B Let a and b be the two distinct positive integer solutions. Then x2+kx+p = (x−a)(x−b) and k = −a−b while p = ab. Because p is a prime, the only possible values for a and b are 1 and p. We can assume that a = 1 and b = p. So k+p = −a−b+p = −1−p+p = −1."
svsu_2005level2_solutions_03,Which of the following are equivalent to log(csc2x)? 1 1 (a) (b) (c) −2log(sinx) log2(sinx) log2(cosx) (d) log(2cscx) (e) None of the above Solution. C Using rules of logarithms and the definition of cscx: (cid:18) (cid:19) log (cid:0) csc2x (cid:1) = log 1 = log1−log (cid:0) sin2x (cid:1) = 0−2log(sinx) sin2x
svsu_2005level2_solutions_04,"To find the distance between two points P and Q on opposite Q sides of a lake, a surveyor locates a point R, 20 feet from P, such the line PR is perpendicular to the line PQ. The angle PRQ is 60◦. Find the distance between P and Q. √ √ 20 3 (a) 20 3 ft (b) 40 ft (c) ft 3 60◦ P R (d) 30 ft (e) None of the above 20ft Solution. A √ 4PQR is a (30,60)-right triangle. Hence, PQ = PRtan60◦ = 20 3. SVSU – 2005 Math Olympics Level II – Page 2"
svsu_2005level2_solutions_05,"The difference between the area of the circle inscribed (the inner cir- √ cle) in a regular hexagon of side length 3 and the area of the circle in which the hexagon is inscribed (the outer circle) is (a) π/2 (b) 3π/2 (c) 3π/4 (d) 2π/3 (e) None of the above Solution. C The angle BAD is 360◦/6 = 60◦, and the triangle is isosceles. That means that the two other angles in the triangle are also 60◦, the triangle is actually equilateral, and so all the sides of the triangle B have the same lenths. From this it follows that the radius of the √ larger circle is 3. Using the right triangle ABC, we can easilly see (PythagoreanTreoremortrigonometry)thatthelengthofAC, which A 60◦ C is the radius of the smaller circle, is 3. So the difference of the areas (cid:16) √ (cid:17) 2 of the two circles is π (cid:0) 3 (cid:1)2 − (cid:0)3(cid:1)2 = π (cid:0) 3− 9(cid:1) = 3π. 2 4 4 D"
svsu_2005level2_solutions_06,"The product N of three positive integers is six times their sum, and one of the integers is the sum of the other two. Find the sum of all possible values of N (a) 300 (b) 350 (c) 336 (d) 318 (e) None of the above Solution. C According to the proplem, we have positive integers a,b such that a · b · (a + b) = N = 6(a+b+(a+b)) = 12(a+b). So, a·b = 12. This gives the following possibilities: a b a+b N 12 1 13 156 6 2 8 96 4 3 7 84 Thus, the sum of all possible values of N is 156+96+84 = 336."
svsu_2005level2_solutions_07,"Suppose that the digits 1, 0, and 8 are written so that they look the same when they are upside down as they do when they are right-side up. Also, the digits 6 and 9 are written so that by turning (rotating) a 6 upside down, we get a 9. Two 5-digit numbers are “flips” of each other if one is obtained by rotating the other upside down. For example, 61891 and 16819 are “flips” of each other. If all five-digit numbers (including those starting with 0 like"
svsu_2005level2_solutions_08,"are being printed on slips of paper such that two numbers are printed on the same slip if and only if they are flips of one another, how many slips of paper are needed? 55 (a) 100,000 (b) 98475 (c) 96875 (d) 105− 2 (e) None of the above Solution. B The correct count is: #(5-digit numbers) - 1 #(numbers whose “flip” is a different but 2 meaningful number) There are 105 = 100000 five-digit numbers. Numbers that flip to a meaningful (but not necessarily different) number have 0, 1, 6, 8, or 9 for its five digits, hence there are 55 such numbers. Of these, some are the “flips”’ of themselves. These will have has 0, 1, 6, 8, or 9 for for the fist two places (which consequently determine the last two digits), and 0, 1 or 8 for the middle (third) digit. Hence there are 5×5×3 numbers. So, there are SVSU – 2005 Math Olympics Level II – Page 3 55−3·52 = 3050 numbers whose “flip” is a different but meaningful number. So the number of slips of paper will be 105− 1(3050) = 100,000−1525 = 98475. 2"
svsu_2005level2_solutions_09,"Which of the following is not equivalent to sin(15◦)? √ √ p √ 6− 2 2− 3 1 (a) (b) (c) √ √ 4 2 6+ 2 √ √ ! 2− 3 2− 3 (d) (e) tan−1 √ 4 2+ 3 Solution. D Upon close examination, you can see that the option in (d) is the square of the one in (b), and since they are not equal to 1, they cannot be both equivalent to the same thing. So one of them must be the answer. Using the half angle formula, we get r s √ s √ p √ 1−cos(30◦) 2 − 3 2− 3 2− 3 sin(15◦) = = 2 2 = = . 2 2 4 2 Added Remark: Choice (b) equals sin15◦ by the half-angle formula. For (e), sin15◦ = sin(75−60); now use the difference formula of sine. (a) and (c) are clearly equivalent, just rationalize the numerator of (a) and √ √ √ simplify. Finally, (a) and (b) are seen equivalent as follows 2− 3= 1 8−4 3= 1 (6+2)−2 12= 2 2 √ √ √ √ 1 ( 6− 2)2 = 1( 6− 2). p p q 2 2 q"
svsu_2005level2_solutions_10,"Let x y = x+y. If a is a positive number such that a (a+1) = 5, which of the below gives y x 2 the va☼lue of a? ☼ (a) 1 (b) 2 √ (c) 5 (d) there is no such number (e) None of the above Solution. A By the definition of , we get a (a+1) = a + a+1 = a2+(a+1)2 = 2a2+2a+1. So, a+1 a a(a+1) a2+a ☼ ☼ 5 2a2+2a+1 = 2 a2+a By cross-multiplying we get 5a2 +5a = 4a2 +4a+2 or a2 +a−2 = 0. This equation has solutions 1 and −2. The only positive solution is 1."
