id,problem
svsu_2017_level2_exam_01,"ThepowersetofasetS isthesetofallthesubsetsofS. Theemptysetisdenoted∅. Which of the following is a power set of some set? (a) W ={{a},{{b}},{a,{b}}} (b) X ={∅,{a},{b},{a,{b}}} (c) Y ={∅,{a},{{b}},{a,{b}}} (d) Z ={∅,{a},{{b}},{a,b}} (e) A={∅,{a},{a,b}}"
svsu_2017_level2_exam_02,"Atoneofthoseleadershipconferences,thereisoneofthoseicebreakerswhereeachofthe50 participantsislabeledwithadistinctintegerbetween1and50,inclusive. Eachodd-numbered participant must shake hands exactly once with each of the other participants, and no even numberedparticipantsmayshakehandswitheachother. Howmanyhandshakestakeplace? (a) 450 (b) 925 (c) 950 (d) 1225 (e) None of the above"
svsu_2017_level2_exam_03,Find 2017 (cid:88) ik k=1 where i2 =−1. (a) −1 (b) i (c) 1 (d) −i (e) 1+i
svsu_2017_level2_exam_04,How many integers n with 1000 ≤ n ≤ 9999 have 4 distinct digits in increasing order or decreasing order? (a) 336 (b) 612 (c) 720 (d) 904 (e) None of the above
svsu_2017_level2_exam_05,"Johnny,DeeDee,Joey,Tommy,andMarkyareinaband. Thesumsoftheagesofeachgroup of four of them are 132, 138, 113, 131, and 126. What is the age of the oldest of the band members? (a) 39 (b) 43 (c) 45 (d) 47 (e) 49 2017 SVSU Math Olympics Level II — page 2 of 5"
svsu_2017_level2_exam_06,For which of the following values of θ is 2cosθ >1 and 3sinθ <1? I. 5π II. 11π III. 13π 6 6 8 (a) I only (b) II only (c) III only (d) I and II only (e) II and III only
svsu_2017_level2_exam_07,sinπ +cosπ = 8 8 √ √ (cid:113) √ (cid:113) (a) 2 (b) 2+ 2 (c) 2− 2 (d) 1+ √1 (e) None of the above 4 2 4 2
svsu_2017_level2_exam_08,"Determine the number of positive divisors of 18,800 that are divisible by 235. (a) 8 (b) 10 (c) 12 (d) 14 (e) 22"
svsu_2017_level2_exam_09,"A function f is defined so that if n is an odd integer, then f(n) = n−1 and if n is an even integer,thenf(n)=n2−1. Forexample,ifn=15,thenf(n)=14andifn=−6,thenf(n)=35, since 15 is an odd integer and −6 is an even integer. Determine the expression of f(f(n)). (a) f(f(n))=n2−2 if n is even, f(f(n))=n2−2n if n is odd (b) f(f(n))=n2−2n if n is even, f(f(n))=n2−2 if n is odd (c) f(f(n))=2n2−1 for all n (d) f(f(n))=2n2−2 for all n (e) None of the above"
svsu_2017_level2_exam_10,"If the operation ∗ is defined for all positive real numbers x and y by x∗y = x+y, which of xy the following must be true for positive x, y, and z? I. x∗x= 2 II. x∗y =y ∗x III. x∗(y ∗z)=(x∗y)∗z x (a) I only (b) I and II only (c) I and III only (d) II and III only (e) all three"
svsu_2017_level2_exam_11,What is the area of the region of the plane determined by the inequality 7≤|x|+|y|≤13? (a) 169 (b) 81 (c) 240 (d) 120 (e) 78 2017 SVSU Math Olympics Level II — page 3 of 5
svsu_2017_level2_exam_12,27/6−22/3 = √ √ √ √ √ (a) 3 4( 2+1) (b) 2 (c) 8( 2−1) √ (d) √ 34 (e) None of the above 2+1
svsu_2017_level2_exam_13,If ln(secθ−tanθ)=x then which of the following is true: (a) secθ = ex+e−x (b) cscθ =ex (c) secθ+tanθ =ex−e−x 2 (d) cosθ =ex−e−x (e) None of the above
svsu_2017_level2_exam_14,"If f (x−1/)=1/f(x)+3 and f(0)=0, what is f(2)? 2 2 (a) 45/ (b) 9/ (c) −90 (d) −18 (e) None of the above 8 2 (cid:0) (cid:1)"
svsu_2017_level2_exam_15,"cos 2sin−1(x) is equivalent to which of the following? (cid:112) (cid:112) (cid:112) (a) 2 1−x2 (b) 2x 1−x2 (c) 1−x2 (d) 1−2x2, |x|≤1 (e) None of the above"
svsu_2017_level2_exam_16,What condition on c will guarantee that the equation ex+ce−x =2 has two solutions? (a) c <1 (b) 0<c <1 (c) c <0 (d) c >1 (e) c >0
svsu_2017_level2_exam_17,Write (−1)2017+i2017 √ 5− −5 as a+bi where a and b are real numbers. √ √ √ √ √ √ (a) −5− 5 + 5− 5i (b) −5+ 5 − 5− 5i (c) −5− 5 + 5− 5i 20 20 20 20 30 30 √ √ (d) −5+ 5 − 5− 5i (e) None of the above 30 30 2017 SVSU Math Olympics Level II — page 4 of 5
svsu_2017_level2_exam_18,"If 6sec2θ+7tanθ−16=0, where −π <θ < π, what are possible values of sinθ? 2 2 √ √ √ √ (a) 5 61 and 1/ (b) 1/ and −2 5 (c) 5 61 and −2 5 61 2 3 5 61 5 (d) 1/ and 1/ (e) None of the above 3 6"
svsu_2017_level2_exam_19,"Find the sum of the integers in the arithmentic sequence 11,28,45,62,...,2017 (a) 119,652 (b) 119,663 (c) 120,655 (d) 120,666 (e) None of the above (cid:16) √ (cid:17)"
