id,problem
svsu_2014_mo_l2sol_01,"Define a function f by f(0) = c, f(−101) = −25348 and f(n−1) = f(n)+5n−1 for any integer n ( for example, f(−1) = f(0)−1). The value of c =? (a) 6 (b) 5 (c) 4 (d) 3 (e) 0 The answer is: (d)"
svsu_2014_mo_l2sol_02,"Letf(x,y)bedefinedbyf(x,0) = xandf(x,y+1) = f(f(x,y),y): whichofthefollowing is the largest? (a) f(10,15) (b) f(11,14) (c)f(12,13) (d) f(13,12) (e) f(14,11) The answer is: (e)"
svsu_2014_mo_l2sol_03,"How many integers can be expressed as a sum of three distinct numbers chosen from the set {4,7,10,13,...,46}? (a) 36 (b) 37 (c) 42 (d) 43 (e) 45 The answer is: (b)"
svsu_2014_mo_l2sol_04,"How many solutions does the equation sin(x)sin(2x)sin(3x)···sin(11x)sin(12x) = 0 have in the interval (0,π]? (a) 12 (b) 24 (c) 46 (d) 68 (e) none of the above The answer is: (c)"
svsu_2014_mo_l2sol_05,"Six tickets numbered 1 through 6 are placed in a box. Two tickets are randomly selected and removed together. What is the probability that the smaller of the two numbers on the tickets selected is less than or equal to 4? (a) 14 (b) 13 (c) 4 (d) 3 (e) none of the above 15 15 5 5 The answer is: (a) Solution 1: The possible pairs of numbers on the tickets are (listed as ordered pairs): (1,2),(1,3),(1,4),(1,5),(1,6),(2,3),(2,4),(2,5),(2,6),(3,4),(3,5),(3,6),(4,5),(4,6), and (5,6). There are fifteen such pairs. (We treat the pair of tickets numbered 2 and 4 as being the same as the pair numbered 4 and 2.) The pairs for which the smaller of the two numbers is less than or equal to 4 are: (1,2),(1,3),(1,4),(1,5),(1,6),(2,3),(2,4),(2,5),(2,6),(3,4),(3,5),(3,6),(4,5), and (4,6). There are fourteen such pairs. Therefore, the probability of selecting such a pair of tickets is 14. 15 2 SVSU 2014 Math Olympics Solution Level II-page 3 of 12 Solution 2: We find the probability that the smaller number on the two tickets is NOT less than or equal to 4. Therefore, the smaller number on the two tickets is at least 5. Thus, the pair of numbers must be 5 and 6, since two distinct numbers less than or equal to 6 are being chosen. As in Solution 1, we can determine that there are fifteen possible pairs that we can selected. Therefore, the probability that the smaller number on the two tickets is NOT less than or equal to 4 is 1 , so the probability that the smaller number on the two 15 tickets is less than or equal to 4 is 1− 1 = 14. 15 15 ∑ ∑"
svsu_2014_mo_l2sol_06,It is known that ∞ 1 = (cid:25)2. What is the value of ∞ 1 ? n=1 n2 6 n=1 (2n−1)2 (a) (cid:25)2 (b) (cid:25)2 (c) (cid:25)2 (d) (cid:25)2 (e) none of the above 36 12 8 7 The answer is: (c)
svsu_2014_mo_l2sol_07,"If f(x) satisfies 2f(x)+f(1−x) = x2 for all x, then f(x) = (a) x2−3x+1 (b) x2+8x−3 (c) x2+2x−1 (d) 4x2+3x−2 2 9 3 6 (e) none of the above The answer is: (c) 3 SVSU 2014 Math Olympics Solution Level II-page 4 of 12"
svsu_2014_mo_l2sol_08,"If Sam and Peter are among 6 men who are seated at random in a row, the probability that exactly 2 men are seated between them is (a) 1/10 (b) 1/8 (c) 1/5 (d) 1/4 (e) none of the above The answer is: (c)"
svsu_2014_mo_l2sol_09,"If 1 −tanx = 3, what is value of sinx? cosx (a) −4/5 (b) 4/5 (c) 1 (d) 0 (e) none of the above The answer is: (a)"
svsu_2014_mo_l2sol_10,Define f(x) = sin6x+cos6x+k(sin4x+cos4x) for some real number k. Then the value of k for which f(x) is constant for all values of x is (a) 0 (b) 3 (c) −3 (d) 5 (e) 7 2 2 2 2 The answer is: (c) 4 SVSU 2014 Math Olympics Solution Level II-page 5 of 12
