id,problem
svsu_2009_level1_solutions_01,Amanandhiswifetakeatripthatusuallytakesthreehoursiftheydriveatanaveragespeedof60mi/h. After an hour and a half of driving at a steady rate of 60mi/h they stop for a 45 minute lunch break. Howfastdotheyneedtodriveontherestofthetriptoarrivethreehoursaftertheystarted? (a) 90mi/h (b) 120mi/h (c) 80mi/h (d) 105mi/h (e) Noneoftheabove
svsu_2009_level1_solutions_02,"AliandFredaredrivingtoBing’shouse. Aliconfusesleftwithright500/ ofthetime(Thismeanshalfthe 0 time,whenhemeanstosay“left”hesays“right”instead,andhalfthetimewhenhemeanstosay“left” he really says “left”. ). Fred gets left and right confused 250/ of the time. (This means when someone 0 tells him to turn left, 750/ of the time he will turn left, and 250/ he will turn right instead, and when 0 0 someonetellshimtoturnright,750/ ofthetimehewillturnright,and250/ hewillturnleftinstead.) If 0 0 FredisdrivingandAliisgivingdirections,andtherearetwoleftturnsonthewaytoBing’shouse(and nootherturns)whatistheprobabilitytheywillgetthere? (a) 1 (b) 9 (c) 1 (d) 3 (e) Noneoftheabove 4 64 2 4"
svsu_2009_level1_solutions_03,"IfWXYZ isaparallelogram,thet equals: y X(5,3) W(−1,3) (a) 8 (b) 9 (c) 10 (d) 11 (e) 12 x"
svsu_2009_level1_solutions_04,Thereforet=4+6=10. 2009SVSUMathOlympics LevelISolutions–page2of11
svsu_2009_level1_solutions_05,"ThesymbolR standsforapositiveintegerwhosebase-tenrepresentationisasequenceofkones,that k isR1 =1,R2 =11,R3 =111,etc. Thequotient R R 2 4 4 isanintegerwhosebase-tenrepresentationcontains onlydigits0and1. Thenumberofdigits0inthisrepresentationis: (a) 6 (b) 13 (c) 15 (d) 16 (e) 20"
svsu_2009_level1_solutions_06,"Asquarewithsideahasasemicircleconstructedinsideitsuchthatthediam- r eter of the semicircle is one of the sides of the square. A circle with maximal radiusisthenconstructedinsidethesquare,butoutsideofthesemicircle(see a illustration). Expresstheradiusr ofthecircleintermsofa. √ (a) r =a(2− 3) (b) r =a/4 √ √ a (c) r =a(3− 2) (d) r = a/2 (e) Noneoftheabove"
svsu_2009_level1_solutions_07,"InthetrapezoidABCD (thepictureisnotdrawntoscale),thesidesAB and D C CD are parallel, and |AB|=4 and |CD|=3. The point E is the intersection point of the two diagonals, and the segment EF is parallel to AB and CD. E F ThelengthofEF is (a) 3 (b) 6 A B (c) 12/7 (d) 3/2 (e) Notenoughinformationgiven"
svsu_2009_level1_solutions_08,"Acompanyoffersthreetypesofbenefits,A,B,andC.Aspartofthisplan,theindividualemployeesmay chooseeitherexactlytwobenefittypes,ornobenefitsatall. Theproportionofthecompany’semployees thatchoosebenefittypesA,BandCare1/4,1/3and5/12,respectively. Determinetheprobabilitythat arandomlychosenemployeewillchoosenobenefitsatall. (a) 0 (b) 47/144 (c) 1/2 (d) 97/144 (e) 7/9"
svsu_2009_level1_solutions_09,"The(possiblyout-of-scale)pictureshowsawindowwhoseshapeconsistsofasemicircle on top of a square. If the perimeter of the window is 20ft, what is the exact length of thebottomsideofthewindow? (a) 40 ft (b) 40 ft (c) 20 ft (d) 20 ft (e) Noneoftheabove π+3 π+6 2π+3 π+3"
svsu_2009_level1_solutions_10,"A rectangular parallelepiped is cut into 8 smaller rectangu- lar parallelepipeds by three cuts parallel to the sides. The 8 smaller solids are then separated, as shown in the picture. Whatisthepercentincreaseinthetotalsurfacearea? (a) 250/ (b) 330/ (c) 500/ (d) 750/ (e) 1000/ 0 0 0 0 0"
